video_id,title,status,caption_type,failure_reason,channel,upload_date
j37zxs33gws,Knife Jigging Basics for Bluefin Tuna with West Coast Jiggerz,ok,auto-generated,,BDOutdoors,2023-05-08
O5aQkex0qGg,Rockfish Tackle and Techniques - SoCal Bight FISHING ACADEMY Ep. 12,ok,auto-generated,,BDOutdoors,2023-03-24
jTXIr9O6zYk,Tackle and techniques for fishing break walls and rip rap - SoCal Bight FISHING ACADEMY Ep. 10,ok,auto-generated,,BDOutdoors,2023-03-02
bydQzE3F9yM,"Understanding break walls, jetties and rip rap - SoCal Bight FISHING ACADEMY Ep. 9",ok,auto-generated,,BDOutdoors,2023-02-24
_w8KNSgGPVE,How to Splice Hollow to Hollow Braided Line,ok,auto-generated,,BDOutdoors,2023-03-03
3tur7-VCM2g,How to set up on structure spots for calicos and sand bass - SoCal Bight FISHING ACADEMY Ep. 8,ok,auto-generated,,BDOutdoors,2023-02-17
-eaaWPN5Fxk,Calico and Sand Bass Tackle- SoCal Bight FISHING ACADEMY Ep. 7,ok,auto-generated,,BDOutdoors,2023-02-10
zKmZ4zql2ws,Understanding Marine Forecasts - SoCal Bight FISHING ACADEMY Ep. 6,ok,auto-generated,,BDOutdoors,2023-02-04
kwMIgkCtFUE,Breaking Down Bass Structure - SoCal Bight FISHING ACADEMY Ep. 5,ok,auto-generated,,BDOutdoors,2023-01-27
gH8JWhlqYqw,Spotted Bay Bass Tackle Selection - SoCal Bight FISHING ACADEMY Ep. 4,ok,auto-generated,,BDOutdoors,2023-01-20
YrvQZojc1q0,TactX Braided Line Construction,ok,auto-generated,,BDOutdoors,2023-01-23
GVP3IChsmRQ,Spotted Bay Bass Techniques - SoCal Bight FISHING ACADEMY Ep. 3,ok,auto-generated,,BDOutdoors,2023-01-13
D5DR7Kx42_A,Yellowtail Coronado Islands Fishing Tips // Sportboat Roundup,ok,auto-generated,,BDOutdoors,2023-01-12
5yfA5XAaLLY,Rod and Reel Offseason Maintenance & TLC,ok,auto-generated,,BDOutdoors,2023-01-06
YgqXf9iICyg,Breaking Down Bays and Harbors - SoCal Bight FISHING ACADEMY Ep. 2,ok,auto-generated,,BDOutdoors,2023-01-06
h3PTupup17I,Understanding SoCal Oceanography to Catch More Fish - SoCal Bight FISHING ACADEMY Ep. 1,ok,auto-generated,,BDOutdoors,2022-12-29
SwXh9Cwi4e0,Two Must Know Knots for Sportboat Fishing,ok,auto-generated,,BDOutdoors,2022-12-29
5D1vx29LVpI,Southern California Bight FISHING REPORT 12/15/22,ok,auto-generated,,BDOutdoors,2022-12-15
yr6z3DmWY4s,How to Serve a Fluorocarbon Leader into Hollow Core Braid,ok,auto-generated,,BDOutdoors,2022-12-09
tyG2wBr0m8Q,Bluefin Tuna Gear and Tackle Recommendations // Sportboat Roundup 12/02/22,ok,auto-generated,,BDOutdoors,2022-12-02
Z3rZqy2Pi8E,11/23/22 Southern California Bight FISHING REPORT,ok,auto-generated,,BDOutdoors,2022-11-24
CIMTyepgonk,How-to: FG Knot - Step by Step,ok,auto-generated,,BDOutdoors,2022-11-16
_9um-TZOUgE,San Diego TACKLE TIPS // Sportboat Roundup 11/10/22,ok,auto-generated,,BDOutdoors,2022-11-10
5p6gu14ZC4w,Southern California Bight FISHING REPORT 10/26/2022,ok,auto-generated,,BDOutdoors,2022-10-27
OYOda6T3f-8,Southern California Bight FISHING REPORT 10/20/2022,ok,auto-generated,,BDOutdoors,2022-10-20
XLVUhV8DW64,Southern California Bight FISHING REPORT 10/12/2022,ok,auto-generated,,BDOutdoors,2022-10-13
5to3Q5P7w90,Southern California Bight FISHING REPORT 09/14/22,ok,auto-generated,,BDOutdoors,2022-09-15
GoVI7CtN6L8,Monofilament vs. Fluorocarbon,ok,auto-generated,,BDOutdoors,2022-09-14
HnqiE05vdXs,Southern California Bight FISHING REPORT 08/31/22,ok,auto-generated,,BDOutdoors,2022-09-01
hF4dFlSB12s,Three MUST KNOW Fishing Knots for SoCal,ok,auto-generated,,BDOutdoors,2022-08-31
HzE4FHHcvTk,Southern California Bight FISHING REPORT 08/17/22,ok,auto-generated,,BDOutdoors,2022-08-18
-JZpyWLdKlk,Southern California Bight FISHING REPORT 08/11/22,ok,auto-generated,,BDOutdoors,2022-08-11
CMQkHQMxbXM,Southern California Bight FISHING REPORT 08-03-2022,ok,auto-generated,,BDOutdoors,2022-08-04
qIKGJSEE2aY,How-to: Trap Rig for HALIBUT,ok,auto-generated,,BDOutdoors,2022-08-04
gBAu56Uw8Fk,East Florida Fishing Report with Capt. Chris Britton,ok,auto-generated,,BDOutdoors,2022-07-26
Blh2BA-7Ono,Southern California Bight FISHING REPORT 07/21/2022,ok,auto-generated,,BDOutdoors,2022-07-21
DnSqw4r7A1s,Southern California Bight FISHING REPORT 07/14/2022,ok,auto-generated,,BDOutdoors,2022-07-14
T3p1mrqNjIo,How-to Hook and Fish with a LIVE Sardine,ok,auto-generated,,BDOutdoors,2022-07-14
nTLweGNuHKw,San Diego FISHING REPORT & TIPS // Sportboat Roundup 06/17/22,ok,auto-generated,,BDOutdoors,2022-06-17
Xr4nURK-Z48,How-to Rig a Leadhead with SQUID for WHITE SEABASS Fishing,ok,auto-generated,,BDOutdoors,2022-06-16
vqsD0qpwcJA,Slow Pitch Jigging // Yellowtail LA Bay Baja,ok,auto-generated,,BDOutdoors,2022-04-06
S2L3KLSQ6Is,Southern California Bight FISHING REPORT 05/26/22,ok,auto-generated,,BDOutdoors,2022-05-26
F1omCfmMsCU,San Diego FISHING REPORT & TACKLE TIPS // Sportboat Roundup 05/26/22,ok,auto-generated,,BDOutdoors,2022-05-26
_a1e7-7Mbjw,San Diego FISHING TIPS // Sportboat Roundup 05/19/22,ok,auto-generated,,BDOutdoors,2022-05-19
n6PTy8g3pb0,Calico Tricks & Tips with Erik Landesfiend,ok,auto-generated,,BDOutdoors,2022-05-17
YZtX1MiT0y8,Southern California Bight Fishing Report with Erik Landesfeind 04/21/2022,ok,auto-generated,,BDOutdoors,2022-04-21
Jtf-bU4aM-c,Does SLOW PITCH JIGGING work for YELLOWTAIL?!,ok,auto-generated,,BDOutdoors,2022-06-27
dLj0sW_l-_A,Slow Pitch Jigging with Benny Ortiz,ok,auto-generated,,BDOutdoors,2022-06-08
sWRSYCmt4Tw,Back to Basics: Hook Styles,ok,auto-generated,,BDOutdoors,2022-03-30
HIXTFWlwnM0,Tricks & Tips: Hooks Size with Jordan Jennings,ok,auto-generated,,BDOutdoors,2022-03-21
UDkKa2PU_4c,San Diego FISHING REPORT // Sportboat Roundup 3/3/2022,ok,auto-generated,,BDOutdoors,2022-03-04
NeYxQT-w42o,San Diego FISHING REPORT // Sportboat Roundup 2/10/22,ok,auto-generated,,BDOutdoors,2022-02-11
9emFjXt89N4,San Diego FISHING REPORT // Sportboat Roundup 2/3/22,ok,auto-generated,,BDOutdoors,2022-02-04
gC7dxSmiip8,San Diego FISHING REPORT // Sportboat Roundup 1/27/22,ok,auto-generated,,BDOutdoors,2022-01-28
1QWstxUibDA,East and West Coast Bait Tanks (What's the Difference?),ok,auto-generated,,BDOutdoors,2020-01-28
_KE9InIHx8M,Fishing Tackle Rigging Tips - Tying a Seaguar Wind On Leader -  bdoutdoors.com,ok,auto-generated,,BDOutdoors,2012-10-15
CWVPLM6NheY,How to rig a Tuna Feather - Tuna Fishing Lure,ok,auto-generated,,BDOutdoors,2012-12-11
1enjjFVcDG0,Halibut tips | Drop Shot Rig (EXPLAINED),ok,auto-generated,,BDOutdoors,2019-05-03
sYrsPGXiYhI,How to Catch Deep Tuna Live Bait Rig - Rubber Band Rig,ok,auto-generated,,BDOutdoors,2019-05-31
w6DDCSLu8vM,How to Gaff a Bluefin From Boat,ok,auto-generated,,BDOutdoors,2019-06-11
EyB98RuKfeQ,Bluefin Tuna Tip | Fishing Line Recommendation,ok,auto-generated,,BDOutdoors,2019-06-24
SluBXkT3cuw,Live Bait Tips For Charter Boat Fishing,ok,auto-generated,,BDOutdoors,2019-07-08
raUPkuaFXpw,Live Bait Tips for Offshore Fishing [For New Anglers],ok,auto-generated,,BDOutdoors,2019-08-29
m2q22sPPkEM,Matching Fishing Hooks to Different Bait (EXPLAINED!),ok,auto-generated,,BDOutdoors,2019-09-10
HTssdpnUGMo,How to Cast A Surface Iron (Recommended Gear!),ok,auto-generated,,BDOutdoors,2019-09-12
Dixn41OzeSE,What to Bring Offshore Fishing - Recommended Tackle!,ok,auto-generated,,BDOutdoors,2019-09-19
Rwy4MqeXCIU,Calico Bass Tips | Benny Florentino,ok,auto-generated,,BDOutdoors,2019-10-10
4xzK7YaXK5s,5 Tips before you go Offshore Fishing | Captain Explains,ok,auto-generated,,BDOutdoors,2019-10-18
lxFNVdDhMy4,How to Fish on a Charter Boat (Skipjack Tuna Everywhere!),ok,auto-generated,,BDOutdoors,2019-11-11
b19_AJjYCok,California Spiny Lobster Tips (What You Need to KNOW),ok,auto-generated,,BDOutdoors,2019-11-13
8YvmROeVL-0,Live Bait Tip From a Deckhand,ok,auto-generated,,BDOutdoors,2019-11-18
8tTVMOV2arE,Recommended Fishing Combo (For Inshore & Shoreline Fishermen),ok,auto-generated,,BDOutdoors,2019-11-27
j2NhAD2An4s,How to Catch Kingfish (Tips Bait Gear Explained),ok,auto-generated,,BDOutdoors,2020-01-09
WzT0RSHpaQc,Ikejime Method? on a Bluefin Tuna,ok,auto-generated,,BDOutdoors,2020-01-15
lm7D9Tlc7Po,How to Rig Wire Leader (Perfect Haywire Twist),ok,auto-generated,,BDOutdoors,2020-02-03
LEiyB9QNzHY,Offshore Fishing During Full Moon? Is The Fishing Any Good?,ok,auto-generated,,BDOutdoors,2020-03-09
VgpgJ8IAyJo,"Best Offshore Lures for Dorado, Yellowfin, Bluefin Tuna | NOMAD",ok,auto-generated,,BDOutdoors,2020-06-08
HWx1jDTGsng,Captain Duane Diego Talks San Diego Bluefin Tuna Fishing Tactics,ok,auto-generated,,BDOutdoors,2020-06-08
KuVwmfF6RAo,Captain Duane Diego Mellor Talks SOCAL Sword Fishing Techniques,ok,manual,,BDOutdoors,2020-07-01
yLpDI8jnizU,Captain Duane Diego Mellor | Fish Finder Tips and Tricks,ok,manual,,BDOutdoors,2020-07-29
11npFUPOJKU,Furuno Fish Finder Sounder For Rockfish,ok,auto-generated,,BDOutdoors,2020-12-15
yMiBtZ7k8-w,Deep Drop Swordfishing Seminar Presented by Costa,ok,auto-generated,,BDOutdoors,2021-02-04
8M4QhL-Qb7E,Yellowfin Tuna Tricks & Tips - #YellowfinTunaTactics,ok,auto-generated,,BDOutdoors,2021-08-16
GqcVaTIlyg0,Bluefin Tuna Flying Fish Rigging,ok,auto-generated,,BDOutdoors,2021-09-15
mscHk0qiXnk,Match The Hatch: Rigging live Mackerel,ok,auto-generated,,BDOutdoors,2021-09-15
E4vKwRaRueA,Dorado Fishing Tactics,ok,auto-generated,,BDOutdoors,2021-09-21
AJMjWDKsdRg,Yo-Zuri Mag Popper - The Ultimate Southern California Tuna Popper,ok,auto-generated,,BDOutdoors,2021-09-23
j1YZ_9IMUVY,Yo-Zuri Mag Darter - All-in-One So-Cal Inshore/Offshore Killer,ok,auto-generated,,BDOutdoors,2021-09-27
0EpILTF0yvE,Yo-Zuri TopKnot Fluorocarbon - Don't Leave Home Without It,ok,auto-generated,,BDOutdoors,2021-09-29
AqW_Z9pFcHU,How Do You Gulp? Ali Hussainy San Diego Rockfishing,ok,auto-generated,,BDOutdoors,2021-10-07
3txdqaQdBd4,How Do You Gulp!? - Lenny Rudow,ok,auto-generated,,BDOutdoors,2021-10-07
RXb0HvVwqO4,How-To: Modifying Leadheads for a Higher Hook Up Ratio,ok,auto-generated,,BDOutdoors,2021-10-13
OHxbPovgvgc,Slow Pitch Jigs For Tuna Yellowtail Gamefish | Sea Falcon Jigs,ok,auto-generated,,BDOutdoors,2021-11-12
xPFm_ZV2PZU,Top 5 Offshore Fishing Setups,ok,auto-generated,,BDOutdoors,2021-10-14
F-vOTerdulU,DOCKSIDE TUTORIAL: LEAD HEAD,ok,auto-generated,,BDOutdoors,2021-12-29
apyGy3XKlss,DOCKSIDE TUTORIAL: SLIDING SINKER,ok,auto-generated,,BDOutdoors,2021-12-29
mUrihh0V59M,DOCKSIDE TUTORIAL: DROPPER LOOP RIG,ok,auto-generated,,BDOutdoors,2021-12-29
